# Magboltz simulation for gasfile/He(96)+CO2(4)_500.gas 
# Simulation date: 2018/12/ 8 16:30

# E(V/cm)     v(cm/us)    d_t(cm^(0.5))    d_l(cm^(0.5))   town_a(/cm)    attach(/cm) 
100.000000    0.897669    356.628578       311.635534      0.000000       0.000000 
148.717949    1.183443    342.635894       285.308629      0.000000       0.000000 
197.435897    1.413525    340.386422       275.749801      0.000000       0.000000 
246.153846    1.596456    345.224931       250.916849      0.000000       0.000000 
294.871795    1.732123    355.469359       266.442854      0.000000       0.000000 
343.589744    1.827616    369.702828       254.524212      0.000000       0.000000 
392.307694    1.889091    386.627865       249.673229      0.000000       0.000000 
441.025641    1.930552    404.156572       263.648125      0.000000       0.000000 
489.743591    1.956248    421.210953       258.144803      0.000000       0.000000 
538.461538    1.980554    436.288369       271.397734      0.000000       0.000000 
587.179489    2.007496    448.899408       285.846585      0.000000       0.000000 
635.897436    2.035760    458.693437       299.122653      0.000000       0.000000 
684.615386    2.071836    466.004433       313.111010      0.000000       0.000000 
733.333333    2.109169    471.529531       311.542916      0.000000       0.000000 
782.051284    2.159024    474.701964       320.210639      0.000000       0.000000 
830.769231    2.205812    477.078114       322.929310      0.000000       0.000000 
879.487182    2.259958    478.302881       342.961053      0.000000       0.000000 
928.205128    2.315241    478.951682       343.179440      0.000000       0.000000 
976.923079    2.371376    479.226794       356.521355      0.000000       0.000000 
1025.641026    2.429369    479.606795       343.129456      0.000000       0.000000 
1074.358973    2.487548    479.950579       354.307651      0.000000       0.000000 
1123.076924    2.546811    480.240209       342.771870      0.000000       0.000000 
1171.794871    2.612129    480.258035       367.272414      0.000000       0.000000 
1220.512821    2.669429    480.975624       357.660320      0.000000       0.000000 
1269.230768    2.729237    481.718962       362.619868      0.000000       0.000000 
1317.948719    2.791142    482.439514       362.353026      0.000000       0.000000 
1366.666666    2.851601    483.282221       382.882955      0.000000       0.000000 
1415.384616    2.918301    483.933264       382.477533      0.000000       0.000000 
1464.102563    2.979360    485.099271       382.590955      0.000000       0.000000 
1512.820514    3.041838    485.712858       395.345777      0.000000       0.000000 
1561.538461    3.102850    486.555746       397.721055      0.000000       0.000000 
1610.256411    3.170668    486.933139       400.143060      0.000000       0.000000 
1658.974358    3.230018    487.740736       403.413053      0.000000       0.000000 
1707.692309    3.297285    488.305473       414.891042      0.000000       0.000000 
1756.410256    3.363370    488.565655       402.875553      0.000000       0.000000 
1805.128207    3.429146    488.585141       415.473237      0.185116       0.000000 
1853.846154    3.492100    488.994848       413.739302      0.366721       0.000000 
1902.564104    3.554981    489.113163       427.003805      0.514755       0.000000 
1951.282051    3.624582    488.744327       419.808466      0.631004       0.000000 
2000.000002    3.696535    488.552090       427.520305      0.787305       0.000000 
